2026-03-29 14:09:48,391 | INFO | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-03-29 14:09:50,621 | INFO | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-03-29 14:09:51,427 | INFO | AIQuizBot | Bot ulandi!
2026-03-29 14:09:51,468 | INFO | AIQuizBot | DB tayyor: data/bot.db | Jami users: 0 ta
2026-03-29 14:09:51,509 | INFO | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-03-29 14:09:53,051 | INFO | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-03-29 14:09:53,878 | INFO | telethon.client.users | Phone migrated to 4
2026-03-29 14:09:54,036 | INFO | telethon.client.telegrambaseclient | Reconnecting to new data center 4
2026-03-29 14:09:54,240 | INFO | telethon.network.mtprotosender | Disconnecting from 149.154.167.51:443/TcpFull...
2026-03-29 14:09:54,242 | INFO | telethon.network.mtprotosender | Disconnection from 149.154.167.51:443/TcpFull complete!
2026-03-29 14:09:54,243 | INFO | telethon.network.mtprotosender | Connecting to 149.154.167.92:443/TcpFull...
2026-03-29 14:09:55,955 | INFO | telethon.network.mtprotosender | Connection to 149.154.167.92:443/TcpFull complete!
2026-03-29 14:11:02,850 | ERROR | AIQuizBot | Ulanmadi +923550924706: 
2026-03-29 14:11:02,852 | WARNING | AIQuizBot | ⚠️ Notify akkaunt topilmadi: +998934897111 — /notify_ulash buyrug'ini ishlating
2026-03-29 14:11:02,854 | INFO | AIQuizBot | ✅ AI Quiz Bot tayyor! 0 ta akkaunt.
2026-03-29 14:11:02,855 | INFO | AIQuizBot | Navbat ishlovchisi ishga tushdi
2026-03-29 14:11:02,857 | INFO | telethon.network.mtprotosender | Disconnecting from 149.154.167.51:443/TcpFull...
2026-03-29 14:11:02,868 | INFO | telethon.network.mtprotosender | Disconnection from 149.154.167.51:443/TcpFull complete!
2026-03-29 14:11:47,047 | INFO | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-03-29 14:11:47,152 | INFO | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-03-29 14:11:47,711 | INFO | AIQuizBot | Bot ulandi!
2026-03-29 14:11:47,716 | INFO | AIQuizBot | DB tayyor: data/bot.db | Jami users: 0 ta
2026-03-29 14:11:47,757 | INFO | telethon.network.mtprotosender | Connecting to 149.154.167.51:443/TcpFull...
2026-03-29 14:11:49,157 | INFO | telethon.network.mtprotosender | Connection to 149.154.167.51:443/TcpFull complete!
2026-03-29 14:11:49,704 | INFO | telethon.client.users | Phone migrated to 4
2026-03-29 14:11:49,811 | INFO | telethon.client.telegrambaseclient | Reconnecting to new data center 4
2026-03-29 14:11:49,920 | INFO | telethon.network.mtprotosender | Disconnecting from 149.154.167.51:443/TcpFull...
2026-03-29 14:11:49,921 | INFO | telethon.network.mtprotosender | Disconnection from 149.154.167.51:443/TcpFull complete!
